Fecha;Tipo Partido;Equipo 1;Equipo 2;Goles Equipo 1 ;Goles Equipo 2
02/06/2012;Amistoso;Inglaterra;Belgica;1;0
03/06/2012;Amistoso;Brasil;Mexico;0;2
15/06/2012;Oficial;Suecia;Inglaterra;2;3
27/06/2012;Oficial;Portugal;España;0;1
15/08/2012;Amistoso;Francia;Uruguay;0;0
16/10/2012;Oficial;Alemania;Suecia;4;4
14/11/2012;Amistoso;Suecia;Inglaterra;4;2
05/06/2013;Amistoso;Uruguay;Francia;1;0
19/06/2013;Oficial;Brasil;Mexico;2;0
14/08/2013;Amistoso;Suiza;Brasil;1;0
14/08/2013;Amistoso;Belgica;Francia;0;0
11/10/2013;Amistoso;Francia;Australia;6;0
15/10/2013;Oficial;Suecia;Alemania;3;5
15/11/2013;Oficial;Croacia;Islandia;0;0
19/11/2013;Oficial;Islandia;Croacia;0;2
19/11/2013;Amistoso;Belgica;Japon;2;3
29/01/2014;Amistoso;Mexico;Corea del Sur;4;0
31/05/2014;Amistoso;Colombia;Senegal;2;2
04/06/2014;Oficial;Alemania;Francia;1;0
06/06/2014;Amistoso;Brasil;Serbia;1;0
07/06/2014;Amistoso;Belgica;Tunez;1;0
08/06/2014;Oficial;Alemania;Brasil;7;1
12/06/2014;Oficial;Croacia;Brasil;1;3
13/06/2014;Oficial;Australia;Chile;1;3
14/06/2014;Oficial;Uruguay;Costa Rica;1;3
14/06/2014;Oficial;Costa Rica;Uruguay;3;1
16/06/2014;Oficial;Iran;Nigeria;0;0
16/06/2014;Oficial;Portugal;Alemania;0;4
16/06/2014;Oficial;Nigeria;Iran;0;0
16/06/2014;Oficial;Alemania;Portugal;4;0
17/06/2014;Oficial;Rusia;Corea del Sur;1;1
17/06/2014;Oficial;Mexico;Brasil;0;0
17/06/2014;Oficial;Brasil;Mexico;0;0
18/06/2014;Oficial;España;Chile;0;2
19/06/2014;Oficial;Uruguay;Inglaterra;2;1
20/06/2014;Oficial;Francia;Suiza;5;2
20/06/2014;Oficial;Suiza;Francia;2;5
21/06/2014;Oficial;Iran;Argentina;0;1
21/06/2014;Oficial;Argentina;Iran;1;0
22/06/2014;Oficial;Rusia;Belgica;0;1
23/06/2014;Oficial;España;Australia;3;0
23/06/2014;Oficial;Australia;España;0;3
23/06/2014;Oficial;Croacia;Mexico;1;3
24/06/2014;Oficial;Costa Rica;Inglaterra;0;0
24/06/2014;Oficial;Colombia;Japon;4;1
24/06/2014;Oficial;Japon;Colombia;1;4
25/06/2014;Oficial;Nigeria;Argentina;2;3
25/06/2014;Oficial;Nigeria;Argentina;2;3
26/06/2014;Oficial;Rusia;Argelia;1;1
26/06/2014;Oficial;Corea del Sur;Belgica;0;1
28/06/2014;Oficial;Uruguay;Colombia;0;2
28/06/2014;Oficial;Colombia;Uruguay;2;0
30/06/2014;Oficial;Francia;Nigeria;2;0
30/06/2014;Oficial;Nigeria;Francia;0;2
01/07/2014;Oficial;Argentina;Suiza;1;0
04/07/2014;Oficial;Francia;Alemania;0;1
04/07/2014;Oficial;Brasil;Colombia;2;1
05/07/2014;Oficial;Argentina;Belgica;1;0
13/07/2014;Oficial;Argentina;Alemania;0;1
10/10/2014;Amistoso;Arabia Saudita;Uruguay;1;1
12/11/2014;Amistoso;Argentina;Croacia;2;1
29/03/2015;Amistoso;Francia;Dinamarca;2;0
07/06/2015;Amistoso;Brasil;Mexico;2;0
07/06/2015;Amistoso;Francia;Belgica;3;4
05/09/2015;Amistoso;Costa Rica;Brasil;0;1
08/10/2015;Oficial;Dinamarca;Portugal;0;1
11/10/2015;Amistoso;Dinamarca;Francia;1;2
14/11/2015;Oficial;Dinamarca;Suecia;1;2
